"fineract_id","sub_status_date"
44,2025-02-25
6514,2024-12-30
6225,2024-12-01
46,2024-12-25
7686,2024-12-25
11325,2025-01-07
10704,2025-01-01
10644,2025-01-25
10411,2025-01-31
6289,2024-09-30
10205,2025-01-31
8715,2024-11-24
9098,2025-01-05
7236,2025-01-31
6332,2025-01-31
11629,2025-02-21
9253,2024-10-30
6183,2025-01-31
10393,2025-02-15
6482,2025-02-02
8546,2025-03-15
11408,2024-09-30
9444,2024-04-30
11874,2025-03-25
11795,2024-09-30
11102,2025-03-30
10709,2025-03-30
10218,2025-03-24
7850,2024-12-15
7175,2024-09-30
8101,2025-03-30
7028,2025-03-30
6688,2025-03-30
6512,2025-03-30
6228,2024-12-25
10868,2024-08-29
11296,2024-11-05
9998,2024-10-30
9729,2024-12-30
11569,2025-01-25
9037,2024-11-27
9660,2024-08-29
9793,2024-11-30
10387,2024-11-28
8584,2025-02-28
11280,2024-10-25
7543,2024-09-30
8739,2024-05-30
11449,2025-03-30
7133,2024-07-31
11182,2024-10-25
10823,2025-03-30
8444,2025-02-20
9628,2025-03-30
10661,2024-12-28
10776,2025-03-30
11191,2024-12-23
10267,2024-09-24
11002,2025-02-28
10175,2024-12-25
10919,2025-03-30
11740,2025-02-24
9711,2025-02-15
8162,2025-02-26
8071,2025-03-30
7688,2024-10-30
6948,2024-12-26
9967,2024-12-30
8065,2024-09-25
7742,2025-01-31
8540,2025-03-23
6219,2024-11-25
10119,2024-09-30
8481,2024-12-01
11065,2024-12-25
10757,2024-08-15
10195,2024-10-30
9305,2024-09-30
8698,2025-01-27
11620,2024-11-30
6504,2025-02-01
7520,2025-03-30
11782,2025-03-15
10074,2024-12-30
7959,2024-12-07
6773,2024-05-25
11792,2024-12-25
9039,2024-12-30
10789,2025-03-30
8757,2024-09-30
10670,2025-03-30
7974,2024-11-30
9288,2025-02-01
10435,2024-09-07
10618,2024-10-15
10279,2025-02-26
9359,2024-12-30
7501,2025-01-31
11791,2025-03-30
7147,2024-07-31
10164,2024-09-30
7760,2025-03-30
6873,2025-02-28
6580,2025-03-23
9315,2024-06-25
6231,2025-01-31
8501,2024-12-30
10355,2024-09-16
11540,2025-03-30
9743,2025-03-30
9528,2024-08-29
9331,2024-11-30
11294,2025-02-28
8589,2024-12-30
10615,2025-03-30
7114,2024-11-30
11541,2025-03-26
10802,2024-12-30
7158,2025-02-28
6710,2024-08-29
10363,2024-07-31
8036,2024-08-29
9749,2024-12-30
10249,2024-10-30
7698,2024-10-30
7910,2024-06-30
7441,2024-11-30
6424,2024-07-15
7177,2024-08-25
11060,2024-07-31
11406,2024-12-25
6865,2024-11-30
8013,2025-03-30
8391,2025-03-30
8053,2024-12-23
10150,2025-03-30
10547,2024-12-28
8259,2025-02-28
11554,2025-02-24
9029,2025-03-30
7937,2024-04-25
6602,2025-01-25
7315,2024-12-25
10918,2024-10-30
7430,2024-11-25
11000,2024-12-25
7917,2024-08-25
7762,2025-03-25
10149,2024-11-27
6930,2024-11-30
7634,2025-03-22
8840,2024-10-30
7306,2025-03-24
9542,2024-11-25
10403,2025-01-31
7617,2025-03-30
7580,2024-11-30
8716,2025-01-25
9294,2025-02-25
10067,2024-01-31
8638,2024-01-31
11169,2024-01-31
10719,2024-01-31
6524,2024-01-31
8062,2024-01-31
7764,2024-01-31
8519,2024-01-10
9580,2024-01-03
9484,2024-08-29
9347,2024-08-29
8981,2024-08-15
8724,2024-08-29
8512,2024-08-29
8296,2024-08-25
8073,2024-08-29
7885,2024-08-29
7466,2024-08-18
7135,2024-08-29
6642,2024-08-29
11689,2024-08-15
10544,2024-02-28
9399,2024-02-25
10467,2024-02-25
9718,2024-02-28
11670,2024-09-05
11347,2024-09-01
10894,2024-09-27
9460,2024-09-01
9630,2024-03-30
8671,2024-03-30
8342,2024-03-30
10957,2024-03-30
10630,2024-03-30
10371,2024-03-30
10283,2024-03-22
7965,2024-03-30
7507,2024-03-30
7504,2024-03-28
7337,2024-03-30
7307,2024-03-30
8575,2024-03-30
7577,2024-08-24
11322,2024-08-24
11200,2024-08-05
10554,2024-04-30
10058,2024-04-30
10011,2024-04-29
9622,2024-04-30
11784,2024-04-30
11522,2024-04-30
11074,2024-04-30
10936,2024-04-30
10588,2024-04-30
9251,2024-04-05
8054,2024-04-30
7834,2024-04-30
7203,2024-04-30
7154,2024-04-30
7089,2024-04-30
6963,2024-04-30
6821,2024-04-30
11494,2024-04-17
11012,2024-04-23
9758,2024-04-03
9167,2024-04-22
9035,2024-08-15
11626,2024-10-30
11548,2024-10-25
11387,2024-10-30
11345,2024-10-02
11087,2024-10-27
9614,2024-05-24
9271,2024-05-25
11721,2024-05-30
11353,2024-05-30
11240,2024-05-30
11136,2024-05-25
10316,2024-05-07
10174,2024-05-30
9904,2024-05-25
7841,2024-05-30
7707,2024-05-30
9175,2024-05-30
9169,2024-05-30
9155,2024-05-30
9064,2024-05-30
8781,2024-05-30
8725,2024-05-30
8681,2024-05-25
6792,2024-05-30
7640,2024-05-30
7565,2024-05-30
7117,2024-05-30
7048,2024-05-30
6949,2024-05-24
6894,2024-05-30
6855,2024-05-30
6747,2024-05-30
10657,2024-09-15
6618,2024-05-30
6518,2024-05-30
6443,2024-05-23
10891,2024-05-28
7705,2024-05-28
11495,2024-09-25
11327,2024-09-25
10257,2024-09-30
11727,2024-06-30
10932,2024-06-05
10419,2024-06-25
10277,2024-06-30
9717,2024-06-23
9441,2024-06-30
9403,2024-06-30
8859,2024-06-30
8798,2024-06-27
8712,2024-06-30
8597,2024-06-30
8464,2024-06-25
8098,2024-06-30
7739,2024-06-28
6458,2024-06-30
11312,2024-06-01
10122,2024-06-28
9578,2024-06-14
8872,2024-09-30
8502,2024-09-30
9181,2024-06-01
10151,2024-09-25
9697,2024-09-14
9451,2024-09-25
9316,2024-09-30
9297,2024-09-07
8949,2024-09-25
7670,2024-09-30
7424,2024-09-30
7212,2024-09-30
8429,2024-09-30
8132,2024-09-25
7077,2024-09-25
6906,2024-09-30
11470,2024-07-26
11242,2024-07-25
11096,2024-07-31
10483,2024-07-31
10437,2024-07-31
10213,2024-07-31
10063,2024-07-27
9550,2024-07-25
9382,2024-07-24
9381,2024-07-31
8992,2024-07-31
8971,2024-07-31
8782,2024-07-31
8418,2024-07-27
8202,2024-07-25
8141,2024-07-20
6196,2024-07-31
6871,2024-09-25
8087,2024-07-25
8011,2024-07-31
7652,2024-07-27
7374,2024-07-31
7103,2024-07-11
7096,2024-07-25
10179,2024-08-25
11693,2024-08-29
11662,2024-08-29
11533,2024-08-29
11055,2024-08-25
10734,2024-08-29
10660,2024-08-26
10498,2024-08-29
10043,2024-08-25
10929,2024-10-30
10803,2024-10-30
10722,2024-10-30
10526,2024-10-25
10426,2024-10-30
9885,2024-10-30
9719,2024-10-30
9424,2024-10-30
9357,2024-10-25
9257,2024-10-25
9164,2024-10-03
8926,2024-10-24
8823,2024-10-25
8700,2024-10-30
7852,2024-10-30
7757,2024-10-15
7745,2024-10-15
7643,2024-10-30
7391,2024-10-30
7094,2024-10-30
6556,2024-10-30
11498,2024-10-25
11418,2024-10-28
11124,2024-10-01
11698,2024-11-30
11643,2024-11-25
10979,2024-11-30
10859,2024-11-30
10751,2024-11-25
10310,2024-11-16
9465,2024-11-30
9303,2024-11-24
9285,2024-11-30
9156,2024-11-30
9063,2024-11-30
8542,2024-11-30
8289,2024-11-30
8168,2024-11-30
8061,2024-11-30
8031,2024-11-30
7819,2024-11-30
7767,2024-11-30
7597,2024-11-25
7155,2024-11-19
7060,2024-11-30
6880,2024-11-15
6835,2024-11-25
6707,2024-11-30
6509,2024-11-30
6233,2024-11-30
11694,2024-11-27
10253,2024-11-25
10013,2024-11-17
10390,2024-12-25
10170,2024-12-30
10055,2024-12-30
7453,2024-12-30
7176,2024-12-30
6892,2024-12-30
6818,2024-12-25
8835,2024-12-07
6721,2024-12-30
71,2024-12-25
69,2024-12-25
6442,2024-12-15
10917,2025-01-15
10710,2025-01-25
11239,2025-01-31
10920,2025-01-27
9730,2025-01-31
9241,2025-01-15
9105,2025-01-31
8921,2025-01-20
8631,2025-01-25
8368,2025-01-31
8064,2025-01-31
10530,2025-01-31
6383,2025-01-31
6941,2025-01-31
6900,2025-01-31
6885,2025-01-31
6763,2025-01-31
10862,2025-01-20
7151,2025-01-31
11295,2025-02-28
11013,2025-02-28
10908,2025-02-25
10668,2025-02-21
8556,2025-02-04
8543,2025-02-28
8313,2025-02-28
7354,2025-01-28
8145,2025-02-28
7496,2025-02-28
7204,2025-02-28
7139,2025-02-28
6870,2025-02-28
6413,2025-02-28
6306,2025-02-28
43,2025-02-28
11508,2025-02-24
11014,2025-02-25
10353,2025-02-02
9045,2025-02-10
7544,2025-02-27
7312,2025-02-05
11212,2025-03-30
10898,2025-03-30
9739,2025-03-15
9229,2025-03-30
9112,2025-03-30
8800,2025-03-30
8572,2025-03-30
8129,2025-03-30
7933,2025-03-21
7314,2025-03-30
7148,2025-03-30
10514,2025-03-25
6713,2025-03-02
6465,2025-03-30
6411,2025-03-30
7954,2024-07-31
8705,2025-03-30
11890,2025-03-30
11565,2025-03-30
8858,2025-03-25
8579,2025-03-24
12042,2025-03-15
11904,2025-03-26
7896,2025-03-30
7552,2025-03-30
6653,2025-03-30
6394,2025-03-30
6256,2025-03-30
8550,2025-03-30
74,2025-03-30
73,2025-03-21
11081,2024-12-30
11072,2024-12-01
11603,2024-12-30
11504,2024-12-30
11378,2024-12-30
10878,2024-12-30
9846,2024-12-20
9617,2024-12-23
10834,2024-12-30
10731,2024-12-01
10589,2024-12-28
10379,2024-12-30
10345,2024-12-30
10271,2024-12-30
9889,2024-12-30
9036,2024-12-30
8979,2024-12-30
8809,2024-12-25
9522,2024-12-01
9494,2024-12-15
9488,2024-12-25
9466,2024-12-30
9343,2024-12-30
9299,2024-12-30
8598,2024-12-01
8419,2024-12-25
8338,2024-12-30
8324,2024-12-24
8292,2024-12-30
8210,2024-12-30
7899,2024-12-30
7870,2024-12-30
7727,2024-12-30
7090,2024-12-26
6968,2024-12-30
6683,2024-12-30
6639,2024-12-30
6519,2024-12-30
